NAME_3,centroid_lat,centroid_lon,slope_mean,flow_accum_max,twi_mean,curvature_std,mua_1h,mua_24h,mua_72h,mua_dubao_24h_toi,risk_satlo,risk_luquet,muc_canhbao_satlo,muc_canhbao_luquet
Xá Tổng,22.00687927304057,103.22261629415145,26.680462386504743,1511994.0,9.25105033913548,0.05555394250933753,1.2,14.9,114.6,28.7,0.8207461371308197,0.4634122992188363,5,3
Chung Chải,22.27192212634726,102.3947368892022,18.96792374329688,288353.0,9.460984170196218,0.03520662556558365,1.7,24.3,76.7,18.5,0.5034317589123765,0.3508232595691497,3,2
Huổi Lếnh,22.170970730078697,102.70735976480807,22.647524110773663,450127.0,9.109356776408864,0.021158381696762426,2.4,30.2,110.9,25.4,0.6671525792672887,0.418478983888362,4,3
Leng Su Sìn,22.320666445986255,102.32151291361144,18.922444214045264,423090.0,9.436970567085792,0.03323526407621051,3.5,41.0,95.6,30.7,0.58050719981605,0.572054409000515,3,3
Mường Nhé,22.172298992979943,102.43615694395197,19.6883823221945,108353.0,9.416519300934828,0.05110398227475166,1.0,20.1,67.9,14.3,0.5133951697645884,0.26119733191213845,3,2
Mường Toong,22.180112631658016,102.58622763154851,18.11583413114851,174751.0,9.53460560421579,0.01917866786340056,0.5,31.2,105.0,17.0,0.5765166896252394,0.41661630053567744,3,3
Nậm Kè,22.07999104485395,102.54877389495525,20.803495935203163,364575.0,9.436820988897937,0.05467696061888887,0.4,15.4,65.5,9.9,0.5264224596233484,0.2588174608374699,3,2
Nậm Vì,22.21778587823047,102.51635980781053,16.744305533152577,53331.0,9.538305834675947,0.013162508785631672,0.5,17.0,81.2,15.1,0.4397697069831554,0.22551951849601107,3,2
Pá Mỳ,22.08756375997915,102.67836869987786,20.90357609598824,449703.0,9.44164818596199,0.012362751993633044,4.5,23.9,91.7,19.7,0.5387600079948207,0.3763670162073142,3,2
Quảng Lâm,22.027967777001663,102.63129166932563,21.35484750656681,256897.0,9.386792398452393,0.011866549536569503,2.7,30.6,111.7,19.2,0.6308217974356427,0.4115877323292145,4,3
Sen Thượng,22.447835368324213,102.32590427018862,21.788036893474885,242141.0,9.28674110746524,0.02828315126451179,0.9,27.8,108.4,35.9,0.6622525881820935,0.36597377380188234,4,2
Sín Thầu,22.373746230472495,102.22696710721033,21.280446936466674,145401.0,9.366315887488213,0.0671186938246143,1.2,16.4,58.7,20.6,0.5334489173969112,0.22012520408614655,3,2
Chà Cang,21.95839528990784,102.81895192513647,23.04617117874491,936259.0,9.364280602696635,0.011758976754737981,1.2,9.4,52.1,13.8,0.3928349126705315,0.29494664590298886,2,2
Chà Nưa,21.90989925442332,102.877500140304,22.032945925671545,157419.0,9.379069533977423,0.013619750395679057,1.3,17.7,90.1,16.3,0.5498116651733034,0.23906779120142224,3,2
Chà Tở,21.949957520269916,102.9655985881454,21.69258721983144,74309.0,9.370868638953892,0.0143211958720577,1.0,22.5,78.6,17.2,0.49682073955703343,0.2782686716936656,3,2
Nà Bủng,21.730335908992664,102.68879907477225,15.463603379765999,64031.0,9.561689133823831,0.03859127147546465,10.9,31.1,80.7,24.7,0.48272128496032185,0.3960146317742516,3,2
Na Cô Sa,21.969129940866363,102.59606449992188,20.13311612275379,97985.0,9.405726623458664,0.06142712338137044,2.0,27.2,62.1,9.9,0.5191851957685507,0.3417261276172199,3,2
Nà Hỳ,21.8086634514041,102.78746126291293,17.06723310654829,296810.0,9.608897042515766,0.009778385313822193,7.6,15.7,58.4,16.5,0.33626875350227664,0.2655258090297032,2,2
Nà Khoa,21.904205651033646,102.69358801031053,18.37354638248678,485741.0,9.52224031905444,0.010564922071577642,3.0,14.2,50.3,11.4,0.32014555958429886,0.2770825420477524,2,2
Nậm Chua,21.805774067085352,102.72092331357472,15.456840263664484,293105.0,9.720947177515322,0.009146326122299042,7.5,21.1,66.4,18.5,0.34830341679384097,0.33925425735867976,2,2
Nậm Khăn,22.033291616570008,102.90833409092221,24.855207284829113,1031542.0,9.171150467164583,0.03846823583183997,0.3,15.8,79.6,10.4,0.6020672189736561,0.37060512585450894,4,2
Nậm Nhừ,21.85752600641263,102.66411145722729,20.58793343120705,77957.0,9.16339571106186,0.05122343048383653,7.6,24.5,65.2,18.5,0.5138221203896147,0.2824586015755014,3,2
Nậm Tin,21.921588637194553,102.75380159117132,21.369752826890306,617986.0,9.374377119332982,0.010849484512360206,3.2,9.8,49.2,17.4,0.35574193392625925,0.23726067905757992,2,2
Pa Tần,22.034786038275755,102.76230177190376,23.822088860882385,367602.0,9.238465133317593,0.01724874279745921,0.4,12.0,63.7,10.4,0.46715461294053073,0.20015428621738707,3,2
Phìn Hồ,21.851631452959047,102.9232194705406,18.966464228409887,102465.0,9.497217394583451,0.019316926728392806,2.2,21.2,84.6,17.6,0.49908623977218725,0.2807997524231768,3,2
Si Pa Phìn,21.768707171165577,102.91952355611986,16.596566024228974,127947.0,9.568451171551416,0.03304819648171091,4.9,22.8,85.8,13.8,0.5064562464786319,0.3116220126250688,3,2
Vàng Đán,21.71469370823571,102.74943675486911,17.838299353869875,159382.0,9.476984900873692,0.013028060089287504,7.2,18.9,72.3,29.0,0.4150920106550168,0.263079286122243,3,2
Lay Nưa,22.012890649382157,103.11936357717009,23.791543599564108,435618.0,9.335715491490754,0.03722260509134776,6.0,30.3,123.5,23.4,0.7765405692940734,0.4386939365897804,4,3
Na Lay,22.03562985671665,103.15308231849224,22.073044833391727,494097.0,9.546341394344422,0.011987832755513447,2.9,16.0,122.9,29.0,0.6895193746202176,0.3022851459637189,4,2
Sông Đà,22.069410902605455,103.13497991117364,25.7255007862122,501100.0,9.12889306249954,0.08527444551448246,6.5,33.5,132.5,41.2,0.9588061400960135,0.46939567562815265,5,3
Huổi Só,22.06921480136564,103.41552862371523,25.323758737752875,95791.0,9.31128705803778,0.042387066550330164,1.8,11.9,100.8,32.2,0.7103784135683935,0.15190583898000992,4,1
Lao Xả Phình,22.00128634866755,103.29439927370493,28.834250441605796,1511982.0,9.19579831048813,0.02514384564867869,0.6,11.3,109.5,35.5,0.7527556129640507,0.41564959264935797,4,3
Mường Báng,21.83372817348062,103.34226746545248,18.81388793919844,1073559.0,9.565928781337455,0.00994080704030287,0.9,7.2,63.5,28.2,0.3820701960690609,0.3159027066581856,2,2
Mường Đun,21.884384275181798,103.47274795661247,21.0625709091855,69024.0,9.487689098200242,0.021671019151674954,1.5,9.5,84.1,31.4,0.5304286562404074,0.13539064972757725,3,1
Sáng Nhè,21.87210464893201,103.42123469438611,20.71920033965259,58943.0,9.522728349030231,0.012597614820191365,1.5,9.5,84.1,31.4,0.5037187811164163,0.1367773209681427,3,1
Sính Phình,21.908344830955187,103.3524418226894,21.86633610541017,95070.0,9.412863492936586,0.013021746389386761,1.8,11.6,101.5,33.3,0.5959009456007268,0.15806735247302253,3,1
Tả Phìn,21.985342730130103,103.36578440609254,24.342676136860376,29106.0,9.419803942760494,0.013186089050526581,0.6,11.3,109.5,35.5,0.6640337089401097,0.1420705434632062,4,1
Tả Sìn Thàng,22.041373395783598,103.35470074390915,27.236984644316543,42980.0,9.179875743396137,0.05866855998501761,0.3,9.2,108.9,37.5,0.8108486237524002,0.09685454079266757,5,1
Trung Thu,21.93536223064099,103.29883803794219,24.097481703471946,1425961.0,9.33584142326819,0.014696344837251801,1.8,11.6,101.5,33.3,0.6295555800997085,0.41561987807438777,4,3
Tủa Chùa,21.85668091158434,103.33683851655252,10.523926377067866,5400.0,10.472484164382218,0.008105835402130423,1.9,6.9,63.6,26.7,0.26817534178246355,0.18748459577306192,2,1
Tủa Thàng,21.95960039205519,103.43945431376957,24.022441228525988,71735.0,9.284225050673616,0.02860578191600623,2.3,16.1,111.6,35.3,0.7066155277892386,0.19397079822793056,4,1
Xín Chải,22.097692259628275,103.33943681088972,28.001684632357033,83698.0,9.137557062177285,0.07069499915227125,0.3,9.2,108.9,37.5,0.850353679885929,0.10086333564671192,5,1
Chiềng Đông,21.500039916274947,103.37613591401085,25.97805959735195,849768.0,9.308657154575076,0.01641986356798533,0.2,2.8,29.4,4.1,0.34398986890046723,0.19458754753274093,2,1
Chiềng Sinh,21.550184364271225,103.37114092752127,19.69867240802759,478251.0,9.59618717085915,0.013283542684708122,0.1,3.4,38.0,7.2,0.29065864616994674,0.15552876558333173,2,1
Mùn Chung,21.73209383705695,103.38418295317067,21.514366008583103,414877.0,9.404343339904516,0.012119332603637366,0.8,4.3,61.7,21.8,0.4153182138476026,0.1349287471188149,3,1
Mường Khong,21.635832602946028,103.25679251055051,23.492289961236324,102242.0,9.288384229777828,0.012922764578926499,0.1,5.3,50.1,12.1,0.3928593255887633,0.0732232382766806,2,1
Mường Mùn,21.729781058165617,103.33261562673479,21.63280936800772,451456.0,9.424544738531084,0.012075916965754467,0.1,4.3,62.1,17.1,0.4185275439587336,0.14416931867816093,3,1
Mường Thín,21.644137900507694,103.3590463042152,22.032065323241575,42972.0,9.381817679767861,0.012150651122282885,0.0,3.9,56.1,12.1,0.39781241667566475,0.05397932435672633,2,1
Nà Sáy,21.580077175581838,103.35293715529932,19.105477669895695,168742.0,9.511974677854903,0.011478300158652551,0.1,3.4,38.0,7.2,0.2783893306108451,0.08574072437192358,2,1
Nà Tòng,21.794447555393344,103.39821284921348,21.179076006862026,414483.0,9.454381513566458,0.011626174136571518,1.9,6.9,63.6,26.7,0.4179637890069484,0.17032546880216423,3,1
Phình Sáng,21.807956007599337,103.4857300491117,23.029897407210466,78294.0,9.40970767664179,0.018120854545870268,0.3,5.6,71.4,17.8,0.4923954288789183,0.08374052368282645,3,1
Pú Nhung,21.70243168474558,103.45636748343071,23.931418837474386,64054.0,9.524630504501294,0.01546067640820247,0.3,3.8,64.4,7.6,0.4672916459923002,0.07083270083691912,3,1
Pú Xi,21.71367443025553,103.24487114855911,26.015854299775675,578558.0,9.227345972853639,0.014415278474852841,0.3,6.9,60.7,26.6,0.47620984145521783,0.18100524355062678,3,1
Quài Cang,21.61877240123798,103.42940029133293,20.150457360142003,175498.0,9.560414443819594,0.01168610219227902,0.0,4.1,59.5,5.1,0.3865847386876621,0.10002415995321892,2,1
Quài Nưa,21.654195385190345,103.44906154701118,20.183065276625143,132808.0,9.748364629982126,0.01191716878678598,0.3,3.8,64.4,7.6,0.40896815898741634,0.10619513002897683,3,1
Quài Tở,21.551580152644956,103.4576559445192,21.674457070817205,83024.0,9.366309041361058,0.022627716687473192,0.0,3.9,51.4,4.0,0.3981477478960185,0.06045243387403502,2,1
Rạng Đông,21.760846688724673,103.44298535513131,23.853889497020837,135521.0,9.476396522050962,0.013958849947132234,1.2,4.8,66.7,15.6,0.47263520960964983,0.0921715036524382,3,1
Ta Ma,21.717034408202295,103.53544018106612,25.455200184347607,75299.0,9.211300504262528,0.02041848094394075,0.1,3.3,59.7,7.8,0.4790775187764943,0.036831364857633254,3,1
Tênh Phông,21.4921154054423,103.42566445998999,24.093090690734837,8847.0,9.232915556325407,0.023112883533341882,0.1,6.5,55.3,5.6,0.4484041456231306,0.06338919220270114,3,1
Tỏa Tình,21.604783820646507,103.51258230993952,22.829014836144875,34718.0,9.261297282449432,0.025794145734520022,0.2,7.2,54.6,4.6,0.4351470873050271,0.07953599069816936,3,1
Tuần Giáo,21.590740817878856,103.40593293045475,20.48264865460946,277896.0,9.489515281315297,0.013845862569589883,0.0,3.9,56.1,12.1,0.3814213875722916,0.11119051848151514,2,1
